streamerId,install_date,registration_date,gender,streamer_type,followers,coins_earned_all_time,avg_stream_duration,avg_watchers_per_stream,avg_earned_coins_per_stream
62f258caa92caa4fe6526d0e,2022-08-09,2022-08-09,male,Individual,,0,2,4.33,0
63340e6dd177d1506206cb45,2022-09-28,2022-09-28,male,Individual,17,0,1,1.33,0
633a053208aa4f2581ad1487,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,2,14,0
633abda608aa4f2581ad4668,2022-10-03,2022-10-03,iPreferNotToSay,Individual,1,0,1,3,0
63380ce894c9c82f2a49a911,2022-10-01,2022-10-01,female,Individual,37,0,8.5,83,0
6336e22838c52fb3346eb773,2022-09-30,2022-09-30,female,Individual,368,6,12.47,100.53,1.11
633a853908aa4f2581ad3a60,2022-10-03,2022-10-03,male,Individual,,7,4,25.71,0.41
632fe830d177d1028905ac88,2022-09-25,2022-09-25,male,Individual,,0,2,1,0
6337c61b94c9c82f2a499a8b,2022-10-01,2022-10-01,female,Individual,267,2167,9.4,103,108.35
633a28f394c9c82f2a4a5765,2022-10-03,2022-10-03,iPreferNotToSay,Individual,46,0,4.5,26.31,0
6298639903012046253bfa48,2022-06-02,2022-06-02,female,Official,4114,41041,82.37,250.92,464.83
6337632094c9c82f2a497ddb,2022-09-30,2022-09-30,female,Individual,52,2,8,100.4,1.4
630da2d8b5f7720e146a6b65,2022-08-30,2022-10-02,female,Official,92,10263,57.46,166.27,394.73
6339fe5994c9c82f2a4a4869,2022-10-02,2022-10-02,female,Individual,322,263,6.57,70.43,12.52
6247668906c077438e419b96,2022-04-01,2022-04-01,male,Individual,2,0,1.75,9.25,0
633a29a594c9c82f2a4a5794,2022-10-03,2022-10-03,female,Individual,286,4147,4.58,36.03,58.41
62948d69f5953bedfc5217d4,2022-05-30,2022-05-30,male,Individual,1,0,5.4,16.8,0
63384bff08aa4f2581ac9072,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,2,4,0
6339ec2a08aa4f2581ad097c,2022-10-02,2022-10-02,female,Individual,25,0,9.5,130.5,0
